code|name|vocabulary
A10AD30|insulins and analogues for injection, intermediate- or long-acting combined with fast-acting - combinations; parenteral|ATC
A10AE01|insulin (human); parenteral|ATC
A10AE02|insulin (beef); parenteral|ATC
A10AE03|insulin (pork); parenteral|ATC
A10AE04|insulin glargine; parenteral|ATC
A10AE05|insulin detemir; parenteral|ATC
A10AE06|insulin degludec; parenteral|ATC
A10AE07|insulin icodec; parenteral|ATC
A10AE30|insulins and analogues for injection, long-acting - combinations; parenteral|ATC
A10AE54|insulin glargine and lixisenatide; parenteral|ATC
A10AE56|insulin degludec and liraglutide; parenteral|ATC
A10AE57|insulin icodec and semaglutide; parenteral|ATC
A10AF01|insulin (human); parenteral|ATC
A10BA01|phenformin; oral|ATC
A10BA02|metformin; oral|ATC
A10BA03|buformin; oral|ATC
A10BB01|glibenclamide; oral|ATC
A10BB02|chlorpropamide; oral|ATC
A10BB03|tolbutamide; oral|ATC
A10BB04|glibornuride; oral|ATC
A10BB05|tolazamide; oral|ATC
A10BB06|carbutamide; oral|ATC
A10BB07|glipizide; oral|ATC
A10BB08|gliquidone; oral|ATC
A10BB09|gliclazide; oral|ATC
A10BB10|metahexamide|ATC
A10BB11|glisoxepide|ATC
A10BB12|glimepiride; oral|ATC
A10BB31|acetohexamide; oral|ATC
A10BC01|glymidine; oral|ATC
A10BD01|phenformin and sulfonylureas|ATC
A10BD02|metformin and sulfonylureas|ATC
A10BD03|metformin and rosiglitazone|ATC
A10BD04|glimepiride and rosiglitazone|ATC
A10BD05|metformin and pioglitazone|ATC
A10BD06|glimepiride and pioglitazone|ATC
A10BD07|metformin and sitagliptin|ATC
A10BD08|metformin and vildagliptin|ATC
A10BD09|pioglitazone and alogliptin|ATC
A10BD10|metformin and saxagliptin|ATC
A10BD11|metformin and linagliptin|ATC
A10BD12|pioglitazone and sitagliptin|ATC
A10BD13|metformin and alogliptin|ATC
A10BD14|metformin and repaglinide|ATC
A10BD15|metformin and dapagliflozin|ATC
A10BD16|metformin and canagliflozin|ATC
A10BD17|metformin and acarbose|ATC
A10BD18|metformin and gemigliptin|ATC
A10BD19|linagliptin and empagliflozin|ATC
A10BD20|metformin and empagliflozin|ATC
A10BD21|saxagliptin and dapagliflozin|ATC
A10BD22|metformin and evogliptin|ATC
A10BD23|metformin and ertugliflozin|ATC
A10BD24|sitagliptin and ertugliflozin|ATC
A10BD25|metformin, saxagliptin and dapagliflozin|ATC
A10BD26|metformin and lobeglitazone|ATC
A10BD27|metformin, linagliptin and empagliflozin|ATC
A10BD28|metformin and teneligliptin|ATC
A10BD29|sitagliptin and dapagliflozin|ATC
A10BD30|gemigliptin and dapagliflozin|ATC
A10BD31|metformin, sitagliptin and dapagliflozin|ATC
A10BD32|glimepiride and dapagliflozin|ATC
A10BD33|pioglitazone and dapagliflozin|ATC
A10BD34|metformin and enavogliflozin|ATC
A10BF01|acarbose; oral|ATC
A10BF02|miglitol; oral|ATC
A10BF03|voglibose; oral|ATC
A10BG01|troglitazone; oral|ATC
A10BG02|rosiglitazone; oral|ATC
A10BG03|pioglitazone; oral|ATC
A10BG04|lobeglitazone; oral|ATC
A10BH01|sitagliptin; oral|ATC
A10BH02|vildagliptin; oral|ATC
A10BH03|saxagliptin; oral|ATC
A10BH04|alogliptin; oral|ATC
A10BH05|linagliptin; oral|ATC
A10BH06|gemigliptin; oral|ATC
A10BH07|evogliptin; oral|ATC
A10BH08|teneligliptin; oral|ATC
A10BH51|sitagliptin and simvastatin|ATC
A10BH52|gemigliptin and rosuvastatin|ATC
A10BJ01|exenatide; parenteral|ATC
A10BJ02|liraglutide; parenteral|ATC
A10BJ03|lixisenatide; parenteral|ATC
A10BJ04|albiglutide; parenteral|ATC
A10BJ05|dulaglutide; parenteral|ATC
A10BJ06|semaglutide; oral, parenteral|ATC
A10BJ07|beinaglutide|ATC
A10BK01|dapagliflozin; oral|ATC
A10BK02|canagliflozin; oral|ATC
A10BK03|empagliflozin; oral|ATC
A10BK04|ertugliflozin; oral|ATC
A10BK05|ipragliflozin|ATC
A10BK06|sotagliflozin|ATC
A10BK07|luseogliflozin|ATC
A10BK08|bexagliflozin|ATC
A10BK09|enavogliflozin|ATC
A10BX01|guar gum|ATC
A10BX02|repaglinide; oral|ATC
A10BX03|nateglinide; oral|ATC
A10BX04|[U] exenatide|ATC
A10BX05|pramlintide|ATC
A10BX06|benfluorex; oral|ATC
A10BX07|[U] liraglutide|ATC
A10BX08|mitiglinide; oral|ATC
A10BX09|[U] dapagliflozin|ATC
A10BX10|[U] lixisenatide|ATC
A10BX11|[U] canagliflozin|ATC
A10BX12|[U] empagliflozin|ATC
A10BX13|[U] albiglutide|ATC
A10BX14|[U] dulaglutide|ATC
A10BX15|imeglimin|ATC
A10BX16|tirzepatide; parenteral|ATC
A10BX17|carfloglitazar|ATC
A10BX18|dorzagliatin|ATC
A10XA01|tolrestat|ATC
A10XX01|teplizumab|ATC
A10XX02|donislecel|ATC
A11AA01|multivitamins and iron|ATC
A11AA02|multivitamins and calcium|ATC
A11AA03|multivitamins and other minerals, incl. combinations|ATC
A11AA04|multivitamins and trace elements|ATC
A11CA01|retinol (vit A); oral, parenteral|ATC
A11CA02|betacarotene|ATC
A11CC01|ergocalciferol|ATC
A11CC02|dihydrotachysterol; oral|ATC
